"Employee id","Crew id","Flight","Departure Date","Block off","Arrival Date","Block on","Aircraft Registration","Aircraft Type","Duration","Landing","PIC","SIC"
97255,97255,"SK1491-20241120-TOS-ARN","2024-11-20","19:38:00","2024-11-20","21:42:00","SERON","32N",124,false,"18939",
97255,97255,"SK1492-20241120-ARN-TOS","2024-11-20","17:02:00","2024-11-20","19:01:00","SERON","32N",119,true,"18939",
97255,97255,"SK0019-20241106-LLA-ARN","2024-11-06","19:24:00","2024-11-06","20:36:00","OYKAU","320",72,true,"11250",
97255,97255,"SK0016-20241106-ARN-LLA","2024-11-06","17:36:00","2024-11-06","18:51:00","OYKAU","320",75,false,"11250",
97255,97255,"SK0011-20241106-LLA-ARN","2024-11-06","15:14:00","2024-11-06","16:29:00","OYKAU","320",75,false,"11250",
97255,97255,"SK0020-20241105-ARN-LLA","2024-11-05","21:58:00","2024-11-05","23:16:00","SEROO","32N",78,true,"11250",
97255,97255,"SK0019-20241105-LLA-ARN","2024-11-05","19:28:00","2024-11-05","20:36:00","SEROO","32N",68,false,"11250",
97255,97255,"SK0016-20241105-ARN-LLA","2024-11-05","17:36:00","2024-11-05","18:55:00","SEROO","32N",79,false,"11250",
97255,97255,"SK0011-20241105-LLA-ARN","2024-11-05","15:21:00","2024-11-05","16:36:00","SEROR","32N",75,true,"11250",
97255,97255,"SK0020-20241104-ARN-LLA","2024-11-04","22:00:00","2024-11-04","23:17:00","SEROR","32N",77,false,"11250",
97255,97255,"SK0019-20241104-LLA-ARN","2024-11-04","19:30:00","2024-11-04","20:40:00","SEROR","32N",70,true,"11250",
97255,97255,"SK0016-20241104-ARN-LLA","2024-11-04","17:46:00","2024-11-04","19:04:00","SEROR","32N",78,true,"11250",
97255,97255,"SK0011-20241104-LLA-ARN","2024-11-04","15:20:00","2024-11-04","16:33:00","SEROR","32N",73,false,"11250",
97255,97255,"SK0020-20241103-ARN-LLA","2024-11-03","22:29:00","2024-11-03","23:52:00","SEROX","32N",83,true,"11250",
97255,97255,"SK0690-20241103-LIN-ARN","2024-11-03","18:51:00","2024-11-03","21:45:00","SEROX","32N",174,false,"11250",
